curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2WP14', 'H2PF26', 'H1RM14', 'H1ED24', 'H2PR3', 'H2GH25', 'H2PF8', 'H2TO28', 'H2WP2', 'H1GH20', 'S59E', 'H2TO30', 'H1PF36', 'H2DS6', 'H1GH29', 'S62B', 'H1WP14', 'H2PF23', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2PF17', 'H2PF13', 'H2ED5', 'H1PF16', 'H1EE7', 'H2PF4', 'H1WP5', 'H2DS4', 'H1FS11', 'H2GH23', 'H1DS6', 'H1ED16', 'H1DS8', 'H1GH52', 'H2TO26', 'H1PF15', 'H2FV1', 'H2PF12', 'H1ED19', 'S62Q'],87,37,55
11,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
12,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
13,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
14,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
15,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
16,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
17,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
18,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
19,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
20,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
21,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
22,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
23,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
24,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
25,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
26,0.7257109004739336,['H1FS7', 'S59E', 'H1WP4', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H2PF24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H2FV3', 'H2PF34', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H2WP2', 'H1WP7', 'H2WP6', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14', 'H1IR3', 'H2FS2', 'H1FS17', 'H2PF16', 'H1PF10'],50,71,27
